P Value,"2,500m","3,000m",
5,49369,61310,
6,65401,68992,
7,67817,68992,
8,68992,68992,
9,68992,68992,
10,68992,68992,
11,68992,68992,
12,68992,68992,
13,68992,68992,
14,68992,68992,
15,68992,68992,
16,68992,68992,
17,68992,68992,
18,68992,68992,
19,68992,68992,
20,68992,68992,
,,,
,,, 
